strain,chemical,concentration,experiment,replicate,peak_to_baseline_ratio,fold_change,max_derivative,min_derivative,signal_decay_rate,auc_early,auc_mid,auc_late
BL011,Boric Acid,0.5,4.0,1.0,1.9111801242236024,-0.9194616977225673,376.8,-481.6,-26.895817490494295,8470362.5,2088595.0,3625392.5
BL011,Boric Acid,0.5,4.0,2.0,1.72566963138142,-0.9093619865302555,260.2,-373.4,-24.184790874524715,7729265.0,1248047.5,2157842.5
BL011,Boric Acid,0.5,4.0,3.0,1.5980642625528152,-0.9173626805541908,284.4,-228.2,-23.456273764258555,7514737.5,1081312.5,1917385.0
BL011,Boric Acid,0.5,4.0,4.0,1.4532560550372255,-0.9222033738573179,390.6,-349.8,-22.030188679245285,7362910.0,1053537.5,1844965.0
BL011,Boric Acid,0.05,4.0,1.0,1.7090659744330705,-0.9234951266101777,313.4,-465.8,-25.64,8202810.0,1981257.5,3804575.0
BL011,Boric Acid,0.05,4.0,2.0,1.6272618190544756,-0.9303095752339813,337.0,-286.0,-24.584848484848486,8122002.5,2053447.5,3811737.5
BL011,Boric Acid,0.05,4.0,3.0,1.5296986247927435,-0.9192919145615918,280.8,-247.8,-22.595437262357414,7274557.5,1060815.0,1858795.0
BL011,Boric Acid,0.05,4.0,4.0,1.5141331369118867,-0.9119786391676641,413.4,-371.4,-23.557414448669203,7941760.0,1212457.5,2201787.5
BL011,Boric Acid,500.0,5.0,1.0,5.564602960969045,-0.8150740242261104,568.4,-389.8,-30.62911877394636,9053600.0,1633585.0,1788815.0
BL011,Boric Acid,500.0,5.0,2.0,5.201364731067701,-0.8227187583623227,559.0,-377.4,-28.773946360153257,8760132.5,1684170.0,1782610.0
BL011,Boric Acid,500.0,5.0,3.0,5.135698337881419,-0.834408335400645,564.8,-452.4,-30.704214559386973,9218865.0,1671687.5,1787630.0
BL011,Boric Acid,500.0,5.0,4.0,5.185243139142995,-0.8249879634087627,598.4,-596.0,-31.896551724137932,9469555.0,1709002.5,1855147.5
BL011,Boric Acid,50.0,5.0,1.0,5.506415739948674,-0.8038209295694325,521.6,-348.4,-28.540996168582375,8482007.5,1629450.0,1803722.5
